Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Linear,656,1099,3740,85.07734303912648,0.2765681743621826,8.357559204101562,8.634127378463745,172572900182431.06,0.11389315201043324,0.035639617533936574,0.27811126216936016,0.27582226013054817,0.1213730518459643,0.20607421361675374,0.15774056131037492,0.03738352414237999,0.3233028834199446,0.22053431345889377,0.06874476447557597,1699039987405.153,1.9507496258752026,5.83916678957335,34854388033967.35,0.5437479825570902,1.220461549514242
Binary Segmentation Clinear,2281,1099,2115,48.11191992720655,0.1627199649810791,13.514559984207153,13.677279949188232,91138016820709.39,0.06217497530707555,0.015144033825489735,0.00611716014724687,0.006072015057458417,5.89374322911685e-05,0.07985651862514712,0.057316529009995086,0.005471034967654089,0.22520863577744657,0.12356479820373692,0.02252561807468511,121441166674332.83,0.0744133598677934,0.0068013493011159585,42515836699008.414,0.0647083354892119,0.01000019472024721
Binary Segmentation Rank,686,1099,3710,84.39490445859873,0.29782605171203613,7.273409843444824,7.57123589515686,192335057781699.1,0.09393878777470178,0.02136913248086302,0.158373363192926,0.15706756616668796,0.036920203978690024,0.07591430273913238,0.0559221534345876,0.005263951071621548,0.4268407992275364,0.2923490021793107,0.11944467797085186,8660766119734.048,1.805900860716768,5.07558615114747,40199164780286.586,0.4810356740544111,1.0517168233298997
Binary Segmentation Mahalanobis,686,1099,3710,84.39490445859873,17.488922834396362,8.112297296524048,25.60122013092041,192406721871094.4,0.11547153346032717,0.03420068584445342,0.30790909068669337,0.30535578404434677,0.15242839135853425,0.24995265378551257,0.19054790219622425,0.05028836291447755,0.27179074692239275,0.17868098674488073,0.04625971336978718,29214402039013.426,1.8858052703718409,5.519033027313473,44324224782021.55,0.535172295363524,1.1604420361601437
Binary Segmentation AR,2011,1099,2385,54.25386715195633,0.40955305099487305,17.152817010879517,17.56237006187439,44667640212799.79,0.052121185345273845,0.015584216226922125,0.014130856133217786,0.014017473461071515,0.00021570435417049287,0.08318420455705107,0.061241079296607694,0.005951258910682621,0.22775036361187315,0.12159277173062003,0.022112615477606415,120423577823554.78,0.06926075173896466,0.0060127431344638195,33018243607270.914,0.06364665231450758,0.009975307620769095
Binary Segmentation Mean,1345,1099,3051,69.40400363967242,47.87584948539734,7.968020915985107,55.843870401382446,70871118521731.53,0.05794633509681208,0.015420465130442393,0.017574843129873497,0.017463503855341442,0.0005541675191555606,0.08539030262709467,0.06068268210421082,0.006285721013137891,0.22781104114556186,0.126181080133985,0.02373798501492463,86535423552231.02,0.08428622102315315,0.008694037473135614,31481308414792.477,0.06931196444270052,0.010938475230159212
Binary Segmentation Median,1166,1099,3230,73.47588717015469,47.87584948539734,8.570786237716675,56.446635723114014,153473403141846.2,0.07637100609671998,0.015085788978557607,0.008213990171038667,0.008154828336424924,8.138828863104173e-05,0.07888851924059666,0.057358831267926874,0.005573827543096234,0.2213925236277377,0.12101725390786959,0.021782012171575563,58970103744864.96,0.08564198637709157,0.009547864360252064,42488701377342.16,0.06970878119720665,0.010414176268422507
Bottom Up L1,791,1099,3605,82.00636942675159,0.10091590881347656,5.605039119720459,5.7059550285339355,98504090993061.48,0.06435927072757962,0.015635326161074298,0.015254095364368975,0.015151965052130364,0.00040040218910273,0.09072976573436395,0.06440396432498746,0.006998844026173305,0.24773720411967495,0.13072472794255965,0.026087962407890856,10820493820684.787,0.11447461101393301,0.019608037067605742,21864916962749.156,0.07782290781223807,0.013746114370369388
Bottom Up L2,4246,1099,150,3.4121929026387625,0.0800778865814209,20.444643020629883,20.524720907211304,56855448413031.28,0.049486221603234855,0.011912837310103102,0.002704071233975777,0.0026805884669624225,1.1367661499193795e-05,0.07898867085688167,0.055250015665150275,0.005127894291819234,0.2233790658933638,0.11937013130969397,0.021079171823616825,209999524278467.16,0.07192445621971691,0.008470466556378769,53370994538299.7,0.05974228265295173,0.009320347528683421
Bottom Up Normal,581,1099,3815,86.78343949044586,0.12102913856506348,6.1995861530303955,6.320615291595459,800601476755480.6,0.32740396683114265,0.15760660624934272,0.36487640170752084,0.3618350117619994,0.1964656041631093,0.6110254257934918,0.46043454152427604,0.2955645182270907,0.26899548508038185,0.17932651267040553,0.0465292709563333,5566469877595.697,1.9742402064603568,5.974520671193037,161233589326615.3,0.6606480478496358,1.3341373341577822
Bottom Up RBF,876,1099,3520,80.07279344858964,0.8080840110778809,6.272443771362305,7.0805277824401855,139749352644699.72,0.07385568205413764,0.016004693252535233,0.01733349805144285,0.017179737864356157,0.000398103361486199,0.09179347420972765,0.06613209572830683,0.007514857994879289,0.22243513158232386,0.1255980933184183,0.023262573009135586,50204419418975.12,0.08902390989563282,0.010492176340045675,37990754412734.914,0.07435790377217039,0.0115344807916164
Bottom Up Cosine,4246,1099,150,3.4121929026387625,0.35974884033203125,23.29467272758484,23.65442156791687,151408291722013.84,0.07109150323447615,0.011672344037541195,0.007580901792878423,0.007507874007184196,7.448634396089356e-05,0.07918433415820586,0.05619233467989327,0.005273085400901425,0.23103410331315255,0.11713316106007161,0.0207693501474431,195432566491968.8,0.07031246362974203,0.007756044133766053,69368171642796.516,0.06444746732227347,0.009109062012722529
Bottom Up Linear,651,1099,3745,85.19108280254777,0.10000300407409668,5.842784881591797,5.9427878856658936,86910716384778.72,0.08367026374564507,0.028396534677966823,0.08437937663608504,0.08369097556345043,0.010350361088118699,0.3899772733737583,0.2960303186604272,0.11741966733316665,0.276730254536216,0.18992708002972075,0.05109719278504936,10426348534128.201,1.6526802774642835,4.253322874821024,19467412983781.375,0.46119978309270515,0.8921173261410651
Bottom Up Clinear,3066,1099,1330,30.254777070063692,0.05925488471984863,16.663675785064697,16.722930669784546,188563373262363.47,0.08018381456484786,0.012376988050990806,0.004984118798619596,0.004941100595482402,3.400338796371109e-05,0.08380904574696559,0.05705725118218959,0.005489456982719138,0.24706296360802293,0.12251027245688476,0.02324333010133508,169093091240498.78,0.06710329383664793,0.00658009849190719,71531292900572.4,0.06635914652721053,0.009544775402983182
Bottom Up Rank,626,1099,3770,85.75978161965423,0.19150400161743164,3.9045987129211426,4.096102714538574,107226048197944.75,0.08610321047420352,0.026948387433446512,0.4357712721689393,0.4321796736412002,0.2647451407334452,0.11368637468785935,0.08344182676837518,0.011864095116558025,0.42366084393804715,0.28941247699520356,0.11211153716946906,18220840657346.8,1.8650555262187953,5.33662504777749,25089377771058.29,0.5512385428195553,1.150458841646082
Bottom Up Mahalanobis,706,1099,3690,83.93994540491356,0.20164775848388672,6.81331992149353,7.014967679977417,200576312257917.84,0.08992279347599783,0.01688816234603465,0.017656819563245697,0.017523690646393607,0.00045486472637450593,0.09091227954280433,0.0643175935990013,0.0068439118992322644,0.23203999196144331,0.12575214286305164,0.023619822566329364,38260057854597.695,0.3540697532527507,0.18938116379980613,47767274022502.984,0.13031719476743905,0.04743758506755541
Bottom Up AR,3101,1099,1295,29.458598726114648,0.09608602523803711,31.446392059326172,31.54247808456421,97073574157947.64,0.05830151630259672,0.011512399089155323,0.002551416853119369,0.0025296196673535876,1.0153180324977472e-05,0.07835792010051244,0.05376767604681859,0.004842771841785024,0.22044526781335574,0.11874166323348789,0.02074251099324579,191309278050551.7,0.06976764186488275,0.00754227527220983,57676570441699.85,0.060621623423027945,0.008930022075344188
Bottom Up Mean,1889,1099,2507,57.029117379435846,2.118351459503174,10.885039806365967,13.00339126586914,34715848040358.805,0.05034481776993148,0.01580635879985086,0.00747563179541644,0.007416404970571833,8.176369466333758e-05,0.08052523510910024,0.05546591783512841,0.005220706010826575,0.22319750861047016,0.12276505636882964,0.022321915276153303,149448181292065.9,0.06733416676059446,0.006159909861731901,36832805866484.94,0.060665272741011175,0.009918130728645183
Bottom Up Median,834,1099,3562,81.02820746132848,2.118351459503174,8.517035007476807,10.63538646697998,121869900624428.95,0.06913604654851778,0.015165858170601504,0.0075913171217845,0.007540158135658885,9.673047251998185e-05,0.08153097298207221,0.05898176561866749,0.005898214042974177,0.22523273119716672,0.12630010493355215,0.023485808532269833,37559418122855.586,0.09158349274514017,0.011548518621525155,31885863749456.82,0.07070831359630733,0.011239025967978133
