Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Linear,12,1065,4245,99.71811134601832,0.2639169692993164,2.1317532062530518,2.395670175552368,202169256462861.78,0.06723566493121878,0.007356230121139944,0.06373754832406307,0.06360519392920491,0.0051968746856698314,0.09170452268168959,0.0760568271732951,0.010736862746886709,0.14500998372196675,0.09259357630796555,0.014021227355488428,1.5161063027752073,0.3461225018752957,0.18221161061691551,40433851292572.67,0.12912275284339597,0.04390456110522014
Binary Segmentation Clinear,4122,1065,135,3.171247357293869,0.17868494987487793,17.37153911590576,17.55022406578064,45012868295040.164,0.030896269696759352,0.004832808120327736,0.004345254871706739,0.004303039107816556,2.9579484824050277e-05,0.08724908345227134,0.058622856722299076,0.005510232086883717,0.13633795396367454,0.0854263050482625,0.011837755914286005,2.402784113913377,0.14400722138060384,0.031163413014236353,9002573659008.535,0.06465113839114826,0.010674757724111578
Binary Segmentation Rank,2222,1065,2035,47.80361757105943,0.275759220123291,10.433793067932129,10.70955228805542,43198260894149.75,0.03076564184430121,0.0049171438412159395,0.00781979814342527,0.007741962247383781,8.590458217265417e-05,0.1026455866430111,0.06586346686100321,0.0071298290271755785,0.13489610990376072,0.08753251864417534,0.012436062336495038,2.4212478663440047,0.1501462109995821,0.033790806524903544,8639652178830.451,0.06840996011928913,0.011671949262392557
Binary Segmentation Mahalanobis,2222,1065,2035,47.80361757105943,12.168888092041016,20.9840030670166,33.15289115905762,45264781638318.22,0.030855899880978036,0.004784294944378391,0.003413715164767693,0.0033771563282223344,1.758402368896423e-05,0.09222323325713748,0.060085509419925784,0.005852613862972193,0.13709953741126701,0.08584513046418663,0.012057140237000472,2.5682900491094744,0.1566294259458051,0.03690686846862038,9052956327664.176,0.06735862440782356,0.011923700307332086
Binary Segmentation AR,17,1065,4240,99.60065774019262,0.4888620376586914,2.2937848567962646,2.782646894454956,612179519454283.0,0.19315635536146097,0.039436388023806564,0.06536940342177076,0.06529414768153374,0.0061649943867444915,0.09849126144769293,0.07592794811993256,0.009401578865511163,0.2633013444458115,0.16027362906557455,0.03617498602080812,1.9314595400323644,0.2025006097716383,0.06185472007896199,122435903890856.84,0.13943053800002808,0.030606533475166432
Binary Segmentation Mean,1937,1065,2320,54.49847310312427,46.934340715408325,13.473339080810547,60.40767979621887,63319478036802.47,0.03448534173345758,0.004776179709114502,0.004989987008664076,0.0049465969121035526,3.85528129477634e-05,0.09509418898468242,0.06152572893808306,0.00617943064591836,0.1359388203733377,0.08700119874278582,0.012303452613253989,2.572149722587728,0.15667232285503752,0.03689305623139603,12663895607361.025,0.06892623783629351,0.012038134402526126
Binary Segmentation Median,2222,1065,2035,47.80361757105943,46.934340715408325,11.076186895370483,58.01052761077881,34476989208658.043,0.02896542962697309,0.004898417964257501,0.006160762335474858,0.0060927129355547215,5.2016563570699966e-05,0.10544417513805326,0.06763633658848517,0.007510980641628095,0.13510629185922163,0.08841046726875079,0.012597032569399641,2.5006215164800234,0.1532481251371666,0.035256072998695306,6895397841732.128,0.06887061431138605,0.012062904147510252
Bottom Up L1,2007,1065,2250,52.85412262156448,0.09591174125671387,8.260257720947266,8.35616946220398,61109872338182.64,0.034058238156883074,0.004836799553110653,0.012812410321410514,0.012698508796200566,0.0002711478322021538,0.0912498584786373,0.060789123238219854,0.005935708211847631,0.1355911807321211,0.08590382801752919,0.012097126749970091,2.4414337671453272,0.15116906735726202,0.03423785384158402,12221974467637.035,0.06892375311321894,0.011475727237742914
Bottom Up L2,77,1065,4180,98.19121447028424,0.06130409240722656,2.2669291496276855,2.328233242034912,299056377732675.1,0.09151508905464498,0.010805212541482662,0.0243410209582726,0.024317484546302292,0.0009830233264641543,0.10078468285247243,0.07493279323979819,0.009040787095665652,0.17180129707623334,0.10268816273740317,0.017847847964431014,2.100252895729981,0.19910635836354043,0.0589443964129439,59811275546535.4,0.09851197758833788,0.019524253468197472
Bottom Up Normal,132,1065,4125,96.89922480620154,0.11065292358398438,3.6128451824188232,3.7234981060028076,178134256393607.88,0.06048022468788943,0.006119035987110393,0.04854554676365574,0.04837981013786098,0.0032315907328932117,0.12171361317302537,0.0842890671630078,0.011610243970509693,0.15187550908187933,0.09227842506456053,0.014420825319184935,2.94158613263972,0.19417913913941878,0.05719944435877479,35626851278722.2,0.0959213332385475,0.018516228073694612
Bottom Up RBF,2007,1065,2250,52.85412262156448,0.6645419597625732,12.1508309841156,12.815372943878174,60775770137243.13,0.03378901577587372,0.004677496977888554,0.00657827892637756,0.006522112786397432,7.251507813346959e-05,0.09592903150431255,0.062011653874953485,0.006296410025867345,0.13585665536597227,0.08592519090561859,0.012084436338303618,2.3871524907672232,0.1490803087320502,0.03337448625450284,12155154027449.12,0.06746565641497868,0.011301068934939176
Bottom Up Cosine,77,1065,4180,98.19121447028424,0.3513815402984619,2.6097280979156494,2.9611096382141113,233020107950698.9,0.07356577823291895,0.00777118943005437,0.037791118497091145,0.037761690075128994,0.0023185798696895507,0.10885298385441303,0.08056102083942299,0.010252452137577448,0.1883763807421135,0.11524154235197588,0.02139172330521353,2.239669719887546,0.204091298686964,0.06195940953125353,46604021590140.21,0.10224426603728216,0.02073867085475768
Bottom Up Linear,17,1065,4240,99.60065774019262,0.09430813789367676,2.2160449028015137,2.3103530406951904,854397614196374.2,0.26273585199829835,0.07140028794983913,0.11942557352938274,0.1193401079110244,0.014840124260119495,0.08299457813877562,0.06697947571810386,0.007483189932761726,0.38370918494775025,0.23722072026807067,0.07205613850555778,1.4495046510895362,0.28375372419506806,0.12075895243704024,170879522839274.94,0.19400597601811315,0.0573077386170636
Bottom Up Clinear,3617,1065,640,15.034061545689454,0.060166120529174805,15.629514932632446,15.689681053161621,55809157080326.4,0.03291149949488033,0.004754368389202172,0.003766038732087853,0.00372420558412373,2.0886301686852627e-05,0.08808090197696397,0.059434704838335226,0.005654637272811197,0.13597872325590188,0.08614940868140196,0.01209163771504002,2.409906457270378,0.14428098528413918,0.03124506270564753,11161831416065.777,0.06530016077657606,0.01075331847687756
Bottom Up Rank,2342,1065,1915,44.98473103124266,0.1795809268951416,9.39760160446167,9.577182531356812,130941455808363.02,0.04933414680960848,0.005284956654583427,0.006858698321007217,0.006790574133669827,6.894050123512243e-05,0.0876217526473716,0.05813138748950152,0.005461910326729341,0.13521074908222847,0.08729950082052879,0.012406327923041397,2.6587567442799798,0.16078386603720587,0.03896593528217314,26188291161673.133,0.0724678950581029,0.01243761413755249
Bottom Up Mahalanobis,2342,1065,1915,44.98473103124266,0.17518019676208496,13.394321918487549,13.569502115249634,112228538533793.2,0.04498451341234975,0.004927135377687747,0.005979138743854554,0.005928973805995416,5.90565345055694e-05,0.0961825904573943,0.0622976650243151,0.006330087541090432,0.13310466770826587,0.08870503432326347,0.012685401924549112,2.5295101704238263,0.15476950670492942,0.0359317805154076,22445707706759.168,0.07133713865417061,0.011986692378648089
Bottom Up AR,132,1065,4125,96.89922480620154,0.09005475044250488,2.900326728820801,2.9903814792633057,184001498473147.22,0.0615479153442784,0.006712152973040153,0.035783059530510676,0.035684197103700056,0.0020791340199405404,0.08997826595628125,0.06559996901679284,0.006941765081997708,0.15581213895183663,0.09636992232589969,0.015511018068935104,2.707553233858615,0.18142467531373793,0.04962075517499832,36800299694630.016,0.08812533582088175,0.016172965063782345
Bottom Up Mean,1275,1065,2982,70.0493305144468,1.883082389831543,8.297942876815796,10.181025266647339,30842292871772.508,0.029469987862115406,0.005346675555834813,0.016737095293268115,0.016600078762848067,0.0004829893220780365,0.10530127557842009,0.069517895615013,0.007929775450592647,0.13569143021046118,0.09124932637834768,0.013308694085876871,2.5787918440074438,0.15785330455920749,0.03735318002723386,6168458574355.032,0.0729381186355063,0.012884262888323252
Bottom Up Median,1070,1065,3187,74.86492835330044,1.883082389831543,8.19927191734314,10.082354307174683,131432506533932.61,0.04932233624462135,0.005210755464921776,0.0122177033027915,0.012108754380591122,0.0002591555193821105,0.08912576013523947,0.06111319184601064,0.006034572971861827,0.13304234452307084,0.08607049380827712,0.012014688933255552,2.8362736069401313,0.17180004247341332,0.04443731677921283,26286501306787.105,0.07608296375058272,0.013591297933726829
