Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Mahalanobis,5847,1754,1165,16.61437535653166,69.286936044693,16.94149613380432,86.22843217849731,0.1282068777164167,0.08659075398007936,0.012726737389468282,0.3101378555981394,0.13982907532349137,0.029611953991384922,28484842183462.465,0.08213348692324615,0.008540297436546699,45635130372262.76,0.021303626458014986,0.001839700273176801,18529993138931.367,0.08246423567120825,0.013179672272644173
Binary Segmentation AR,6922,1754,90,1.2835139760410725,1.0645101070404053,31.447885036468506,32.51239514350891,0.12985260860093517,0.08987183917132736,0.012851508033239019,0.3216364155016807,0.14209184285771456,0.02992365635049223,22772266706533.258,0.055298775373081095,0.004389563624465451,72150702558250.03,0.026558381460736614,0.0018656233711356893,23730742316195.812,0.07845520971571526,0.012257587844833086
Binary Segmentation Mean,5597,1754,1415,20.17969195664575,229.44157552719116,13.593318939208984,243.03489446640015,0.13741359747979723,0.09817294111225393,0.014167051080587094,0.29969808296871,0.13722503023483307,0.028979893674961017,25706646536980.66,0.06570382480390699,0.005967143853086347,62816588962194.43,0.02501988886629156,0.001934555022794694,22130808874793.824,0.08153042125432176,0.012762160907857279
Binary Segmentation Median,6460,1754,552,7.872219053051912,229.44157552719116,36.1961030960083,265.63767862319946,0.129120326707436,0.08871192778604667,0.012788288541287777,0.32590741482090047,0.14320392401476348,0.030220585147317274,24277836707347.29,0.06135286807195077,0.005279208667561616,50288765176611.35,0.02209406443042464,0.0018095059604504376,18641650470989.684,0.07884069607579673,0.012524397079154261
Bottom Up L1,5427,1754,1585,22.60410724472333,0.1704719066619873,20.155187845230103,20.32565975189209,0.12889159632544403,0.08869321698799117,0.012716255538668833,0.3157808217117724,0.14050916427056587,0.02952615268710856,27672701659260.125,0.07714880773457515,0.007659772224748964,69354827351404.42,0.025942853087381437,0.001845921811334522,24256882252666.21,0.08307351052012873,0.012937025565465221
Bottom Up L2,987,1754,6025,85.92413006274957,0.10088610649108887,9.368158102035522,9.469044208526611,0.1299435781715672,0.08844174961033403,0.013234611331258384,0.3111497205166304,0.13966005622965308,0.029414442259959737,28463663363528.234,0.06961746319068265,0.006954918187528844,110801715208403.42,0.0405666965819135,0.004299453416151487,34816344642982.883,0.0845714914031453,0.013475856298724598
Bottom Up Normal,6732,1754,280,3.993154592127781,0.17708683013916016,16.253633975982666,16.430720806121826,0.13064788715734568,0.09022408499956205,0.013014563874322337,0.2792647564191696,0.13368793448995164,0.02898029612075148,24226676839162.824,0.06205511159670305,0.005365390403082153,76305074894692.56,0.02737867262286978,0.0018805322067591038,25132937933463.867,0.07833645092727207,0.012310195651228746
Bottom Up RBF,6907,1754,105,1.4974329720479178,2.5610768795013428,34.01541018486023,36.57648706436157,0.13088953296309763,0.09116224004175971,0.013019071971842615,0.3186829910720264,0.14127107450739615,0.029774858443428573,22247861832624.402,0.05386945647414098,0.004158188531297196,28145755446016.105,0.017823825806810054,0.0018450751076994204,12598404319660.123,0.07603164920752706,0.012199298513566938
Bottom Up Cosine,2042,1754,4970,70.87849401026811,1.0167911052703857,9.528586864471436,10.545377969741821,0.13372472750664988,0.09455246429196672,0.013410740005954833,0.3184128083409116,0.14217009542461936,0.030229506333839806,22005153445076.285,0.052985390915861116,0.003995676005836103,148059010476427.62,0.04823302831410182,0.004592986481009438,42516040980375.95,0.0844852447366376,0.013057227206660036
Bottom Up Linear,1702,1754,5310,75.72732458642328,0.15020513534545898,11.257603645324707,11.407808780670166,0.1370456238884932,0.0965893808542499,0.014080514559379458,0.32159679626421794,0.142644689110394,0.030210512525318943,25271684794927.848,0.06066816655560902,0.0052166653553488524,123568007730073.86,0.0432578458795965,0.004415744631090629,37209923131250.41,0.08579002059996188,0.013480859267784489
Bottom Up Clinear,6812,1754,200,2.852253280091272,0.08866405487060547,16.829780101776123,16.91844415664673,0.13391355890527118,0.09475147526104266,0.013454050914085816,0.29728309129287483,0.1366087219342547,0.028849156751416985,28263242568330.504,0.07892183987631686,0.008007061273952164,49898080144969.875,0.022132289612145226,0.0018359444077655292,19540330678325.164,0.0831035816709402,0.013036553336805132
Bottom Up Rank,6047,1754,965,13.76212207644039,0.11882233619689941,20.118524074554443,20.237346410751343,0.13519575312825546,0.09649695676845464,0.013672674753722386,0.31919208948832084,0.14151879960015357,0.029776704687430114,24958860071355.996,0.06478961312607076,0.005761244629826902,44161229529824.53,0.02079021690765613,0.001787466543313752,17280022400295.18,0.08089889660058411,0.01274952265357328
Bottom Up Mahalanobis,5662,1754,1350,19.252709640616086,0.719012975692749,28.38308882713318,29.102101802825928,0.1302750600304509,0.09060780876725445,0.012894389895078852,0.309249849905848,0.1389374685082766,0.0292671283819233,29460972724257.973,0.08656147914609706,0.009362597302545302,17969472485970.586,0.01579481868728494,0.0018572953219258123,11857611302557.191,0.08297539377722851,0.013345352725368324
Bottom Up AR,987,1754,6025,85.92413006274957,0.15396809577941895,6.7023420333862305,6.856310129165649,0.13046320953469923,0.0912840061877893,0.01299733510936929,0.3357575413468062,0.14663158446430954,0.03117265746713702,30416568874599.777,0.07907492851951298,0.00851260569037391,66050693655645.47,0.03147280990506889,0.004170598315766606,24116815632561.375,0.08711583226916962,0.014213299145661705
Bottom Up Mean,4331,1754,2681,38.234455219623506,5.256985425949097,27.686421155929565,32.94340658187866,0.1330414595442716,0.09421792553619776,0.013304052590685326,0.30128754543029407,0.13673067547419307,0.02875460146526672,25126093478169.06,0.06526421006911812,0.005833315069215991,44445854968053.305,0.02384068937734592,0.0027834887254795868,17392987111555.643,0.08001337511421408,0.012668864462661914
Bottom Up Median,5545,1754,1467,20.92127780946948,5.256985425949097,24.48460578918457,29.741591215133667,0.12691607410887615,0.08572171399153447,0.012463782326017974,0.29968401078930834,0.13724585086670207,0.02919422354449442,26991779553960.92,0.07379583804588286,0.007124448734065345,99165923460244.84,0.03227447835360596,0.0020507200964945886,31539425753551.516,0.08225947031443172,0.012708293675268089
