Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Linear,342,125,155,31.18712273641851,0.011272192001342773,78.45368909835815,3.13645601272583,81.60141730308533,0.09921616043843104,0.028214282614929784,0.0012260762396187422,0.5042665069747871,0.033113557362105465,0.0014535750759497046,0.30174133370660905,0.030663919988517623,0.001339825657784224
Binary Segmentation Clinear,337,125,160,32.19315895372233,0.011924028396606445,95.44665288925171,2.7297468185424805,98.1883237361908,0.15217784714351706,0.04026289777055417,0.002391567235963212,0.5499768345757104,0.016921926882031472,0.0009983438727423502,0.35107734085961373,0.028592412326292817,0.0016949555543527809
Binary Segmentation Rank,367,125,130,26.156941649899395,0.017857074737548828,94.76847386360168,3.551262378692627,98.33759331703186,0.0842023946020894,0.024578953377539382,0.0009619911465153484,0.5081617387502213,0.03304514725015065,0.001501798779137545,0.29618206667615526,0.028812050313845004,0.0012318949628264465
Binary Segmentation Mahalanobis,297,125,200,40.24144869215292,0.019639015197753906,93.75841188430786,2.9273102283477783,96.7053611278534,0.0980791297475245,0.0275949996689739,0.0011171377985459278,0.45867639967918605,0.022502797712569314,0.0010192921432438703,0.2783777647133553,0.0250488986907716,0.0010682149708948988
Binary Segmentation AR,317,125,180,36.21730382293762,0.023003101348876953,96.48792386054993,2.8567848205566406,99.36771178245544,0.08826639435699833,0.024902553719344103,0.0009026234008077428,17.531055414491284,0.03450369930563345,0.0020743725546444763,8.809660904424145,0.029703126512488777,0.0014884979777261096
Binary Segmentation Mean,312,125,185,37.223340040241446,0.23818111419677734,100.98225593566895,3.828289031982422,105.04872608184814,0.10002695887192395,0.029116274695827515,0.001328820095317806,0.41900688943910364,0.01970673293296007,0.0009163629530712746,0.2595169241555137,0.024411503814393797,0.0011225915241945398
Binary Segmentation Median,340,125,157,31.58953722334004,0.23818111419677734,96.77229976654053,3.321744918823242,100.33222579956055,0.28764138961021174,0.06718893050967853,0.006071435118518173,0.5693438728750653,0.017134165285229725,0.0010597253941753207,0.42849263124263853,0.04216154789745412,0.003565580256346746
Bottom Up L1,407,125,90,18.10865191146881,0.012119770050048828,122.461092710495,4.236583948135376,126.70979642868042,0.10489685302455738,0.030289087953433224,0.0013843225597978423,0.43795118503560393,0.021827329459556826,0.0009889519531681656,0.27142401903008073,0.02605820870649502,0.001186637256483004
Bottom Up L2,172,125,325,65.3923541247485,0.00888824462890625,128.03046822547913,4.196298122406006,132.23565459251404,0.19906640776008155,0.13447574840059962,0.025092073764713084,0.5077292880986959,0.13409471933622674,0.024145708074486745,0.3533978479293887,0.13428523386841318,0.024618890919599914
Bottom Up Normal,172,125,325,65.3923541247485,0.0342409610748291,119.84522891044617,4.39488410949707,124.27435398101807,0.1867184806314176,0.1258238944019954,0.020405614805357544,0.4241848136475719,0.06617387386253015,0.014366655761070915,0.3054516471394947,0.09599888413226278,0.01738613528321423
Bottom Up RBF,357,125,140,28.169014084507044,0.013186931610107422,111.54823207855225,3.394340753555298,114.95575976371765,0.1071595901878566,0.030070364706897258,0.0013314924460092444,0.5405230999922191,0.017999000895837905,0.0010782619849713838,0.3238413450900378,0.024034682801367578,0.0012048772154903136
Bottom Up Cosine,232,125,265,53.31991951710262,0.006841897964477539,94.89098310470581,2.9705729484558105,97.8683979511261,0.2768766104240592,0.06427822090058077,0.006000169298004141,0.5199998919826138,0.01671071407252172,0.0009804385970864436,0.3984382512033364,0.04049446748655125,0.0034903039475452924
Bottom Up Linear,187,125,310,62.37424547283702,0.005101203918457031,90.30437397956848,3.295603036880493,93.60507822036743,0.12610088760530724,0.03959803469803082,0.0021961985877159626,0.45568406502674796,0.02408540648050777,0.0010877551847387613,0.29089247631602777,0.03184172058926929,0.0016419768862273617
Bottom Up Clinear,297,125,200,40.24144869215292,0.004800081253051758,91.78332757949829,3.1250078678131104,94.91313552856445,0.10218692329380329,0.028756258383528122,0.0012052409550574242,0.48458753573300467,0.02095570818938466,0.0010139818106856587,0.29338722951340385,0.024855983286456385,0.0011096113828715408
Bottom Up Rank,297,125,200,40.24144869215292,0.011200904846191406,94.68848896026611,3.4942731857299805,98.19396305084229,0.11664042788331216,0.03265555644765391,0.001538597456508073,0.8393863086814676,0.020055289926550715,0.0012493011630752115,0.47801336828239,0.026355423187102316,0.0013939493097916418
Bottom Up Mahalanobis,257,125,240,48.2897384305835,0.005966901779174805,103.00468683242798,3.6173369884490967,106.62799072265625,0.11219945790921107,0.03254740616933788,0.0016169749392794368,0.4173598207412733,0.019107502053936007,0.0008798256896693537,0.26477963932524234,0.025827454111636942,0.0012484003144743953
Bottom Up AR,357,125,140,28.169014084507044,0.009852886199951172,99.39483308792114,2.9408960342407227,102.34558200836182,0.16306828218051445,0.0521118129256843,0.0038769120116589296,0.6156996645977661,0.059564020156974005,0.003833096705249265,0.3893839733891401,0.055837916541329136,0.0038550043584540976
Bottom Up Mean,274,125,223,44.8692152917505,0.11219978332519531,90.66798210144043,3.0988359451293945,93.87901782989502,0.17148339241064056,0.05545071617054137,0.004080426238014979,0.4144582627832045,0.019952665750184888,0.0008725140813281091,0.29297082759692256,0.037701690960363125,0.0024764701596715435
Bottom Up Median,277,125,220,44.26559356136821,0.11219978332519531,92.86773300170898,4.208420753479004,97.18835353851318,0.1337946011164085,0.043028056212201966,0.0026339178671050817,0.560131714331459,0.016661418747895805,0.0010945260064106424,0.3469631577239338,0.029844737480048882,0.0018642219367578624
