Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Amount_MAPE,Std Amount_MAPE,Avg Amount_MAE,Std Amount_MAE,Avg Amount_MSE,Std Amount_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation Median,444,117,20,4.310344827586207,0.15752606391906737,0.012733065821685517,7.709122896194458,5.692060754864918,7.866648960113525,5.7047781363869206,0.025181512867327824,0.0039219770059255475,0.022847957628225665,0.0034840429800876128,0.0012188746160277715,0.00022950147256728623,0.025181512867327824,0.0039219770059255475,0.022847957628225665,0.0034840429800876128,0.0012188746160277715,0.00022950147256728623
Bottom Up L1,149,117,315,67.88793103448276,0.007339000701904297,0.0006519041282593155,3.2947436809539794,0.3336770869938704,3.3020826816558837,0.33385157308916297,0.0324664618150922,0.002043995715681379,0.029129617358788978,0.0017155890315983045,0.0014616506669703723,3.564053787342985e-05,0.0324664618150922,0.002043995715681379,0.029129617358788978,0.0017155890315983045,0.0014616506669703723,3.564053787342985e-05
Bottom Up L2,149,117,315,67.88793103448276,0.004481220245361328,0.0003911285166301764,3.4982419490814207,0.4311633974838329,3.5027231693267824,0.43131458379017756,0.03212757093679452,0.0010076271007647072,0.028824309645391257,0.0009000093222968203,0.0014275199417910442,9.119820412085222e-05,0.03212757093679452,0.0010076271007647072,0.028824309645391257,0.0009000093222968203,0.0014275199417910442,9.119820412085222e-05
Bottom Up Normal,454,117,10,2.1551724137931036,0.007458305358886719,0.0007735489347642636,6.79347562789917,3.3947368688129735,6.800933933258056,3.39444513389951,0.028107175850384365,0.001973643422650373,0.025387548218921682,0.00176715717459113,0.0013333024210133361,0.00015445454048572106,0.028107175850384365,0.001973643422650373,0.025387548218921682,0.00176715717459113,0.0013333024210133361,0.00015445454048572106
Bottom Up RBF,149,117,315,67.88793103448276,0.006058740615844727,0.0015996847442296134,3.440480136871338,0.2769946006215023,3.446538877487183,0.27698945477071163,0.032862111296092615,0.002113484291291113,0.029482500224364678,0.0018677481120491796,0.0014859917069757268,0.00015084523688445534,0.032862111296092615,0.002113484291291113,0.029482500224364678,0.0018677481120491796,0.0014859917069757268,0.00015084523688445534
Bottom Up Cosine,14,117,450,96.98275862068965,0.004556703567504883,0.00024406659691502016,2.868975877761841,0.14036357002491032,2.8735325813293455,0.14025548669839616,0.03936933334253882,0.007904591249920464,0.039485581922914986,0.007481387504602081,0.002234390852922544,0.0002777686558277203,0.03936933334253882,0.007904591249920464,0.039485581922914986,0.007481387504602081,0.002234390852922544,0.0002777686558277203
Bottom Up Linear,364,117,100,21.551724137931032,0.004491853713989258,0.0004277893214759214,7.410239601135254,2.2167698742004642,7.414731454849243,2.2169358202014524,0.026873943156176087,0.0025009496656867003,0.02433376150433189,0.002167390168667585,0.0013111126847688969,0.0001475463490679891,0.026873943156176087,0.0025009496656867003,0.02433376150433189,0.002167390168667585,0.0013111126847688969,0.0001475463490679891
Bottom Up Clinear,104,117,360,77.58620689655173,0.003950357437133789,0.0007590740415451636,3.3530487537384035,0.28420981576059157,3.3569991111755373,0.28430081927754425,0.03310360455167084,0.0025832177878079795,0.030691864208301403,0.0022563402831060433,0.0016541969789371864,0.00016105425996176207,0.03310360455167084,0.0025832177878079795,0.030691864208301403,0.0022563402831060433,0.0016541969789371864,0.00016105425996176207
Bottom Up Rank,234,117,230,49.56896551724138,0.007661199569702149,0.0004827440962142081,4.02847204208374,0.9225767694294372,4.036133241653443,0.9222898877385832,0.026553100575105248,0.001684267869992498,0.024152238124772817,0.0013948059437905852,0.0013981979179308345,0.0001040150286602229,0.026553100575105248,0.001684267869992498,0.024152238124772817,0.0013948059437905852,0.0013981979179308345,0.0001040150286602229
Bottom Up Mahalanobis,149,117,315,67.88793103448276,0.00311427116394043,5.666427714835815e-05,3.525599718093872,0.5151092271158866,3.5287139892578123,0.5150997448511462,0.03143677580337132,0.0014513738133229964,0.028229124146710548,0.0012562931020458988,0.001399084542915737,6.95903648686392e-05,0.03143677580337132,0.0014513738133229964,0.028229124146710548,0.0012562931020458988,0.001399084542915737,6.95903648686392e-05
Bottom Up AR,324,117,140,30.17241379310345,0.006245565414428711,0.0005430357084787189,5.046781349182129,1.9011523859231707,5.053026914596558,1.9012415081662977,0.02907633633789859,0.0017696381291851617,0.026270697359895612,0.0015126631096716026,0.0014160972114411932,7.557615008487287e-05,0.02907633633789859,0.0017696381291851617,0.026270697359895612,0.0015126631096716026,0.0014160972114411932,7.557615008487287e-05
Bottom Up Mean,209,117,255,54.956896551724135,0.05535721778869629,0.0034463349571235246,3.2450817108154295,0.19450799569718294,3.300438928604126,0.19649553420793145,0.029415549040427404,0.0021704470013063385,0.026568329944887344,0.001779978402207344,0.0014511681872255422,9.70195823351169e-05,0.029415549040427404,0.0021704470013063385,0.026568329944887344,0.001779978402207344,0.0014511681872255422,9.70195823351169e-05
Bottom Up Median,149,117,315,67.88793103448276,0.05535721778869629,0.0034463349571235246,3.45956974029541,0.52846747988085,3.5149269580841063,0.5287103652326063,0.033791795897517365,0.001991484211494972,0.030291857324653608,0.0017036571541696789,0.001543749806831219,9.1973190865513e-05,0.033791795897517365,0.001991484211494972,0.030291857324653608,0.0017036571541696789,0.001543749806831219,9.1973190865513e-05
