Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Bottom Up L1,242,122,245,50.308008213552355,0.008218050003051758,84.15053796768188,3.3139572143554688,87.4727132320404,0.04225707436504434,0.03851276134619859,0.0022840065193484938,0.06491691994113952,0.05782617408010667,0.004592310954435791,17.72256681193568,0.5437940389899809,0.3645801477715999,197.66516333144722,0.5381100619894458,0.3739603208332773,53.8737260344223,0.2945607591014331,0.1863541965196654
Bottom Up L2,242,122,245,50.308008213552355,0.004889965057373047,90.89385199546814,3.6270039081573486,94.52574586868286,0.060201399263450986,0.05372880272077398,0.004254707381579199,0.04847484858656178,0.04190015396551985,0.0023915102020706045,5.114176184156593,0.5481871386356804,0.36924373009954314,4.65626532540736,0.5115352854270911,0.3424045735720638,2.4697794393534913,0.2888378451872664,0.17957363031381418
Bottom Up Normal,262,122,225,46.201232032854215,0.027463912963867188,100.46925377845764,4.160248041152954,104.65696573257446,0.04937667823492062,0.04577695864149165,0.0030670931836595788,0.04465106551853446,0.03824872500843436,0.0018902297036186436,3.9344183087618365,0.5593577170000739,0.3861407941482496,5.207043147097134,0.49660827219093834,0.3260845885684918,2.308872299903107,0.2849979182102346,0.17929567640100497
Bottom Up RBF,242,122,245,50.308008213552355,0.008990287780761719,95.49661803245544,3.94726300239563,99.45287132263184,0.04746374994566233,0.043239294095567926,0.0028106293654123595,0.05309282036243664,0.04643188291625031,0.0028992676207884966,13.758653025219608,0.5429372945728161,0.36260823863773217,15.207161606057012,0.491011108572147,0.31538250994018713,7.266592800396179,0.28090489503919547,0.17092516139103006
Bottom Up Cosine,322,122,165,33.880903490759756,0.00513005256652832,86.1336920261383,3.6403839588165283,89.77920603752136,0.046331493060148346,0.041358810202207975,0.0031957194243975194,0.04345293366318453,0.0352418221435387,0.001710772734897028,4.585303833589449,0.5419689429364513,0.36375806787576964,4.185771106147741,0.5086117805442762,0.3417771622645732,2.215214841615131,0.28179533895661857,0.17761043057490933
Bottom Up Linear,322,122,165,33.880903490759756,0.0070247650146484375,96.47174191474915,4.237666130065918,100.71643280982971,0.0506572915551711,0.04519491228039443,0.003267970203672821,0.05336367191913061,0.044340711782350564,0.0028238963972467158,2.0030161934558595,0.537950197921934,0.3823360778388582,3.3221757936540874,0.5170165439387474,0.3758305626952471,1.357303237646062,0.28612559148085676,0.19106462678375624
Bottom Up Clinear,322,122,165,33.880903490759756,0.005269050598144531,95.47713088989258,3.5341687202453613,99.01656866073608,0.058970237928055835,0.05245998774997775,0.0038004207178790853,0.07294552356440295,0.06197441876684369,0.005085613864365185,3.2445980106530103,0.5356503334624175,0.3635491131572058,3.1040757965195027,0.46477636083474083,0.30340159558311053,1.6201473921662428,0.278715275203495,0.16895918583064012
Bottom Up Rank,307,122,180,36.96098562628337,0.00861215591430664,90.04043173789978,3.696753978729248,93.74579787254333,0.06442380129153041,0.056686977795583945,0.004598242506447197,0.06228671048340605,0.05057017088975014,0.004084975626887414,2.7490984785197314,0.578802034879727,0.41845840748933727,1.8301537172611384,0.48883360570349715,0.35338104268985515,1.1764906768889516,0.29372319731713964,0.1951306670781318
Bottom Up Mahalanobis,307,122,180,36.96098562628337,0.004689931869506836,76.29347801208496,4.190734148025513,80.48890209197998,0.053045737783598,0.04731296112285962,0.0033632204757048363,0.05083890985803368,0.04482568010403629,0.0028150441649207572,2.9402667092548938,0.5169152674381368,0.3470034320664164,1.564853861867902,0.4603941429529346,0.3362449688240863,1.152251304691107,0.26736201290449185,0.17235666638278213
Bottom Up AR,307,122,180,36.96098562628337,0.009479999542236328,92.68295907974243,4.847927808761597,97.54036688804626,0.04270501187385212,0.038795760335166976,0.0023615692463645143,0.04038246951198115,0.034389289915795325,0.0016251288237634784,5.832313964755738,0.5567002338709585,0.3816263744930518,2.1962521672206785,0.4714794756962443,0.32607141640828746,2.0279134033405626,0.2753411899545413,0.1779211222428668
Bottom Up Mean,288,122,199,40.86242299794661,0.0897681713104248,95.9827778339386,3.432241916656494,99.50478792190552,0.04255385908780481,0.03886121969402606,0.0023972402199148738,0.052506112080747076,0.04623056697756855,0.0029566907716590137,2.950797648011027,0.560810754291047,0.39524751411969244,1.9226134265301034,0.5026796971132182,0.3659029216953707,1.2421177614274206,0.28714555951896503,0.19162609170165926
Bottom Up Median,307,122,180,36.96098562628337,0.0897681713104248,89.26174998283386,5.081164121627808,94.4326822757721,0.06899691733586918,0.06034527893614082,0.0050485603879669065,0.045002924566822235,0.0392965507599554,0.002103936827722841,3.3590852010811942,0.5625653363850377,0.3924356923831064,2.9744173502972986,0.4703551860665668,0.3101650130485675,1.6118755983202964,0.2831405880369252,0.1774383006618409
