Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Bottom Up Normal,360,135,180,33.33333333333333,0.010257244110107422,4.318748950958252,4.329006195068359,0.05474328358444608,0.039097823954542976,0.0035602543620462173,0.05474328358444608,0.039097823954542976,0.0035602543620462173
Bottom Up RBF,360,135,180,33.33333333333333,0.010960817337036133,3.2262051105499268,3.237165927886963,0.03847930956144256,0.027006559115267486,0.0024094236943964925,0.03847930956144256,0.027006559115267486,0.0024094236943964925
Bottom Up Cosine,10,135,530,98.14814814814815,0.00710296630859375,2.796189308166504,2.8032922744750977,0.045326778855968544,0.03945556850209199,0.0038505057446753914,0.045326778855968544,0.03945556850209199,0.0038505057446753914
Bottom Up Linear,135,135,405,75.0,0.007596015930175781,3.4359638690948486,3.4435598850250244,0.03899759154880563,0.02738091119594902,0.002506886013735057,0.03899759154880563,0.02738091119594902,0.002506886013735057
Bottom Up Clinear,525,135,15,2.7777777777777777,0.006384849548339844,5.103132963180542,5.109517812728882,0.042037196321881395,0.02940241070393477,0.002823506070819252,0.042037196321881395,0.02940241070393477,0.002823506070819252
Bottom Up Rank,360,135,180,33.33333333333333,0.007894039154052734,3.461300849914551,3.4691948890686035,0.03824542044189748,0.026886253615017223,0.00241308252067128,0.03824542044189748,0.026886253615017223,0.00241308252067128
Bottom Up Mahalanobis,360,135,180,33.33333333333333,0.00562286376953125,3.2753663063049316,3.280989170074463,0.03814873897015264,0.026974931161211115,0.002394088584778087,0.03814873897015264,0.026974931161211115,0.002394088584778087
Bottom Up AR,360,135,180,33.33333333333333,0.00904083251953125,3.061671733856201,3.0707125663757324,0.03860621659348471,0.027187338730875643,0.00247602445543528,0.03860621659348471,0.027187338730875643,0.00247602445543528
Bottom Up Mean,319,135,221,40.925925925925924,0.08498859405517578,4.034120082855225,4.1191086769104,0.04398128970011535,0.03094124728022514,0.0027856378116811373,0.04398128970011535,0.03094124728022514,0.0027856378116811373
Bottom Up Median,360,135,180,33.33333333333333,0.08498859405517578,3.1627073287963867,3.2476959228515625,0.041005464751138226,0.0285969165854359,0.0027412776529758378,0.041005464751138226,0.0285969165854359,0.0027412776529758378
