Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Bottom Up Normal,126,57,100,44.24778761061947,0.0033202171325683594,0.00026733469260448005,3.5997432708740233,0.21298183069904042,3.6030634880065917,0.2129779644403228,5.516098164424828,0.06462287673284628,0.1761851631363595,0.002084879573311697,0.049109200045170553,0.0008148012301113819,5.516098164424828,0.06462287673284628,0.1761851631363595,0.002084879573311697,0.049109200045170553,0.0008148012301113819
Bottom Up RBF,126,57,100,44.24778761061947,0.0022984981536865235,0.00020676352814356626,3.6760541439056396,0.21952892162038787,3.678352642059326,0.21950011303171424,5.579511438645645,0.121239174397339,0.17725754158519735,0.0026171720090011215,0.0496761999532832,0.0010562652417979211,5.579511438645645,0.121239174397339,0.17725754158519735,0.0026171720090011215,0.0496761999532832,0.0010562652417979211
Bottom Up Cosine,126,57,100,44.24778761061947,0.0016696453094482422,0.0001479933278308661,3.514000654220581,0.09684145863007323,3.5156702995300293,0.09691512998019766,5.52460314208695,0.06971041594195483,0.1780935780513608,0.002198727216501926,0.04994511669328988,0.0010140310581167589,5.52460314208695,0.06971041594195483,0.1780935780513608,0.002198727216501926,0.04994511669328988,0.0010140310581167589
Bottom Up Linear,11,57,215,95.13274336283186,0.0021071434020996094,0.00011359700837159797,3.433007907867432,0.35679187795359524,3.4351150512695314,0.35686891918412644,4.895606021562917,0.2872744731364893,0.2724129667831168,0.0008408223309484317,0.11791643341067629,0.0011836979764928458,4.895606021562917,0.2872744731364893,0.2724129667831168,0.0008408223309484317,0.11791643341067629,0.0011836979764928458
Bottom Up Clinear,216,57,10,4.424778761061947,0.0019419193267822266,0.00013134927226129625,3.9085726737976074,0.8750969242386544,3.9105145931243896,0.8750523434417897,4.928256102742171,0.2160533290536117,0.18290557937544338,0.0017340930368844167,0.05358894145054558,0.0012462694753031763,4.928256102742171,0.2160533290536117,0.18290557937544338,0.0017340930368844167,0.05358894145054558,0.0012462694753031763
Bottom Up Rank,126,57,100,44.24778761061947,0.0031068801879882814,0.0005187576949067769,3.5188436031341555,0.3195955277011776,3.5219504833221436,0.31997690137197193,5.471839566615299,0.08812934205581224,0.17708095568024762,0.0009159779436400771,0.04951931124372232,0.000480366452826789,5.471839566615299,0.08812934205581224,0.17708095568024762,0.0009159779436400771,0.04951931124372232,0.000480366452826789
Bottom Up Mahalanobis,126,57,100,44.24778761061947,0.0015528202056884766,0.00011068131558850466,3.52992205619812,0.24916582863256292,3.5314748764038084,0.24922170683955072,5.48049054722043,0.05062296716010637,0.17744875159218504,0.002574697117419869,0.049734764061457604,0.0010777482961052333,5.48049054722043,0.05062296716010637,0.17744875159218504,0.002574697117419869,0.049734764061457604,0.0010777482961052333
Bottom Up AR,141,57,85,37.610619469026545,0.0032201290130615236,0.00023315779218531532,3.5346867561340334,0.2682198929314937,3.5379068851470947,0.2683608722508919,5.627855640836755,0.06251236814647144,0.17599678096516372,0.0016780810623536,0.04902440845392778,0.0006876894550176662,5.627855640836755,0.06251236814647144,0.17599678096516372,0.0016780810623536,0.04902440845392778,0.0006876894550176662
Bottom Up Mean,127,57,99,43.80530973451327,0.025320100784301757,0.0007304080978671213,3.0831106185913084,0.39559303626650677,3.1084307193756104,0.3962496093946234,5.512874444959509,0.06635824917841739,0.1774175755068196,0.0022268578188284426,0.04974593341853705,0.0010287924318971079,5.512874444959509,0.06635824917841739,0.1774175755068196,0.0022268578188284426,0.04974593341853705,0.0010287924318971079
Bottom Up Median,126,57,100,44.24778761061947,0.025320100784301757,0.0007304080978671213,3.5583808422088623,0.1858026350484233,3.583700942993164,0.1856077523254423,5.476975159602216,0.05199199901540428,0.1777830701431001,0.001559707374944278,0.04986322811704969,0.0005929154245723568,5.476975159602216,0.05199199901540428,0.1777830701431001,0.001559707374944278,0.04986322811704969,0.0005929154245723568
