Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Exchange rate_MAPE,Std Exchange rate_MAPE,Avg Exchange rate_MAE,Std Exchange rate_MAE,Avg Exchange rate_MSE,Std Exchange rate_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Bottom Up L2,87,50,110,55.83756345177665,0.0024010658264160155,0.000347003003561958,2.684684705734253,0.2888748448835741,2.687085771560669,0.2890220225084539,0.05660645666744179,0.004371494627340402,0.037761752424877136,0.003018753375638442,0.0021629693185063197,0.0003574801999633773,0.05660645666744179,0.004371494627340402,0.037761752424877136,0.003018753375638442,0.0021629693185063197,0.0003574801999633773
Bottom Up Normal,87,50,110,55.83756345177665,0.003639554977416992,0.0003224765126970693,2.427378749847412,0.15633898831723408,2.4310183048248293,0.1563505307628344,0.05436833664578821,0.0035579557645239466,0.03617719833122516,0.0024931723452785593,0.001970242656143585,0.0002810319726773133,0.05436833664578821,0.0035579557645239466,0.03617719833122516,0.0024931723452785593,0.001970242656143585,0.0002810319726773133
Bottom Up RBF,87,50,110,55.83756345177665,0.002376747131347656,0.0002145901914183233,2.451342058181763,0.24063350687533225,2.4537188053131103,0.24069599153248342,0.051962109841348816,0.004334544995884343,0.03454413642787874,0.002973762716742221,0.0017990872241202133,0.00028891108352548377,0.051962109841348816,0.004334544995884343,0.03454413642787874,0.002973762716742221,0.0017990872241202133,0.00028891108352548377
Bottom Up Cosine,12,50,185,93.90862944162437,0.0015595436096191406,0.00013226316607955522,2.8335508346557616,0.3313063538475213,2.835110378265381,0.3312859388686305,0.07322959617710552,0.011529883685061786,0.07594594946389713,0.012130653143919184,0.007841298637515285,0.002521526466879757,0.07322959617710552,0.011529883685061786,0.07594594946389713,0.012130653143919184,0.007841298637515285,0.002521526466879757
Bottom Up Linear,137,50,60,30.456852791878177,0.0024613857269287108,0.00030704950324752546,2.9582446098327635,0.33470418453029654,2.9607059955596924,0.3347089222684161,0.04397394847491396,0.0029160639523359566,0.023694489757193505,0.0016151803042248468,0.0008156489558314664,0.00011372684091138947,0.04397394847491396,0.0029160639523359566,0.023694489757193505,0.0016151803042248468,0.0008156489558314664,0.00011372684091138947
Bottom Up Clinear,112,50,85,43.14720812182741,0.0019683361053466795,0.00036174111064528217,3.178176832199097,0.5935602117858008,3.1801451683044433,0.593286171851443,0.041180224311629404,0.003239194638697448,0.022530481280804603,0.0018065354287918314,0.0007605874693911699,0.00011799077753298811,0.041180224311629404,0.003239194638697448,0.022530481280804603,0.0018065354287918314,0.0007605874693911699,0.00011799077753298811
Bottom Up Rank,87,50,110,55.83756345177665,0.0027741432189941407,0.0001321259106412791,2.461265754699707,0.17740169985569132,2.4640398979187013,0.1775120983465445,0.05590965371088498,0.007553470006628487,0.03718371778583457,0.005164007846796534,0.002092676696769183,0.0006007978256194128,0.05590965371088498,0.007553470006628487,0.03718371778583457,0.005164007846796534,0.002092676696769183,0.0006007978256194128
Bottom Up Mahalanobis,87,50,110,55.83756345177665,0.001678609848022461,0.00014891770264726701,2.3561215877532957,0.11123168943431111,2.3578001976013185,0.11126458592627665,0.05508790147803243,0.004225025097663935,0.03668212035881002,0.0029301709346083653,0.002029096857592906,0.00034143876002565575,0.05508790147803243,0.004225025097663935,0.03668212035881002,0.0029301709346083653,0.002029096857592906,0.00034143876002565575
Bottom Up AR,87,50,110,55.83756345177665,0.0032715797424316406,0.0002443264113713495,2.3219675540924074,0.12318116476874248,2.325239133834839,0.12311470327017959,0.05331550606578012,0.00439840346701845,0.035466004014275625,0.003033869761089893,0.0019008695705315555,0.0003434526147031298,0.05331550606578012,0.00439840346701845,0.035466004014275625,0.003033869761089893,0.0019008695705315555,0.0003434526147031298
Bottom Up Mean,87,50,110,55.83756345177665,0.025728750228881835,0.0007480615616024908,2.3728400230407716,0.2205799809882806,2.3985687732696532,0.22115063841988522,0.054705457535887896,0.0056044186097461745,0.03634430753806546,0.0038908926549948678,0.0019866597987468304,0.0004697427935178746,0.054705457535887896,0.0056044186097461745,0.03634430753806546,0.0038908926549948678,0.0019866597987468304,0.0004697427935178746
Bottom Up Median,87,50,110,55.83756345177665,0.025728750228881835,0.0007480615616024908,2.298769807815552,0.19314781891897517,2.3244985580444335,0.1937793815627693,0.05501784338763004,0.004773646725210585,0.036600921453361156,0.003329979239955155,0.002023171082205002,0.00040712718393788507,0.05501784338763004,0.004773646725210585,0.036600921453361156,0.003329979239955155,0.002023171082205002,0.00040712718393788507
