Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation Cosine,9,94,365,97.59358288770053,0.012561559677124023,0.0006338384717741527,3.45012526512146,0.21496468741281213,3.462686824798584,0.21511443963147664,0.20279885415274554,0.01133099632693304,0.190041571362977,0.010579765350093731,0.0517000289874881,0.004899972860871259,0.20279885415274554,0.01133099632693304,0.190041571362977,0.010579765350093731,0.0517000289874881,0.004899972860871259
Binary Segmentation Linear,9,94,365,97.59358288770053,0.008231544494628906,0.00128897781260324,3.2318809032440186,0.1676747118085008,3.2401124477386474,0.167674649844361,0.19270433668588277,0.004759716293257884,0.18048197807809965,0.004541960843401496,0.046795511715036715,0.002231734769776988,0.19270433668588277,0.004759716293257884,0.18048197807809965,0.004541960843401496,0.046795511715036715,0.002231734769776988
Binary Segmentation Clinear,364,94,10,2.6737967914438503,0.006474018096923828,0.0004905791491773718,4.021640920639038,0.17195496768813687,4.028114938735962,0.1715580745748967,0.1799352784958383,0.02992520731186697,0.16862157226134797,0.028173287213393038,0.042599733214914864,0.012428500474206529,0.1799352784958383,0.02992520731186697,0.16862157226134797,0.028173287213393038,0.042599733214914864,0.012428500474206529
Binary Segmentation Rank,59,94,315,84.22459893048129,0.0072517871856689455,0.00014432827752193769,3.3297954559326173,0.38181221094423023,3.337047243118286,0.3817377753338741,0.12417261029551185,0.007778751668455011,0.1085620165869613,0.004694892478445266,0.017553486880961925,0.0013024344466909207,0.12417261029551185,0.007778751668455011,0.1085620165869613,0.004694892478445266,0.017553486880961925,0.0013024344466909207
Binary Segmentation Mahalanobis,49,94,325,86.89839572192514,0.011313295364379883,0.0018717902263281575,3.2821607112884523,0.20777022130443773,3.293474006652832,0.2078807312603869,0.12551991095394208,0.0040412007074663156,0.11092182744572576,0.004621689219736475,0.018654561423631318,0.0019030360870820808,0.12551991095394208,0.0040412007074663156,0.11092182744572576,0.004621689219736475,0.018654561423631318,0.0019030360870820808
Binary Segmentation AR,49,94,325,86.89839572192514,0.013118982315063477,0.000824560427233456,3.2978439807891844,0.24988826486569757,3.310962963104248,0.24955617337894692,0.12644413410219996,0.0018294978517115362,0.11167240073603867,0.0019334432873094436,0.018916958203382274,0.0007582993621099389,0.12644413410219996,0.0018294978517115362,0.11167240073603867,0.0019334432873094436,0.018916958203382274,0.0007582993621099389
Binary Segmentation Mean,74,94,300,80.21390374331551,0.11123170852661132,0.005952537328302356,3.2455228328704835,0.2556715414143605,3.3567545413970947,0.25266995359591815,0.12721374643315608,0.004061620369584803,0.11194381398255321,0.003384672371707735,0.01883213230858854,0.0013266740958752376,0.12721374643315608,0.004061620369584803,0.11194381398255321,0.003384672371707735,0.01883213230858854,0.0013266740958752376
Binary Segmentation Median,49,94,325,86.89839572192514,0.11123170852661132,0.005952537328302356,3.3024270057678224,0.39838286778665016,3.4136587142944337,0.3969796034042973,0.12391155192322326,0.005011240433995607,0.10959426677621566,0.004562022213981912,0.018051362324012398,0.0019049414327552401,0.12391155192322326,0.005011240433995607,0.10959426677621566,0.004562022213981912,0.018051362324012398,0.0019049414327552401
Bottom Up L1,49,94,325,86.89839572192514,0.00796494483947754,0.0012574808687509985,3.4358065128326416,0.4783966482433347,3.4437714576721192,0.4779845377292418,0.1255170607621625,0.0025854864512943553,0.1108113144799189,0.001915578777844867,0.01870107400755054,0.0006723134880798491,0.1255170607621625,0.0025854864512943553,0.1108113144799189,0.001915578777844867,0.01870107400755054,0.0006723134880798491
Bottom Up L2,49,94,325,86.89839572192514,0.005045413970947266,0.000438863620216066,3.563541221618652,0.4103238807352704,3.5685866355895994,0.4100104328923721,0.12366150799673568,0.004271898240604781,0.1092089687301625,0.00399159495619915,0.018067109579096765,0.0015433195162922496,0.12366150799673568,0.004271898240604781,0.1092089687301625,0.00399159495619915,0.018067109579096765,0.0015433195162922496
Bottom Up Normal,49,94,325,86.89839572192514,0.00786142349243164,0.0010687461042608007,3.7433470249176026,0.4314070003225427,3.751208448410034,0.4317927727917953,0.12168704173009375,0.0037239282324420713,0.10789744839954055,0.0035821078338897435,0.017611619718119205,0.0016045245977351172,0.12168704173009375,0.0037239282324420713,0.10789744839954055,0.0035821078338897435,0.017611619718119205,0.0016045245977351172
Bottom Up RBF,49,94,325,86.89839572192514,0.0052109241485595705,0.00047975619441192766,3.46846981048584,0.21323255817747008,3.4736807346343994,0.21281893996741863,0.12841061347533111,0.0034095701549743548,0.11363133129783684,0.00411700794127158,0.019777441499478413,0.0016396640894879577,0.12841061347533111,0.0034095701549743548,0.11363133129783684,0.00411700794127158,0.019777441499478413,0.0016396640894879577
Bottom Up Cosine,14,94,360,96.2566844919786,0.003748464584350586,0.00015885588570962238,3.23608021736145,0.19801547259815372,3.239828681945801,0.19799381988899256,0.174289076527902,0.009541916661708052,0.163448133281011,0.00895921595474635,0.03985844944181324,0.003449979030747296,0.174289076527902,0.009541916661708052,0.163448133281011,0.00895921595474635,0.03985844944181324,0.003449979030747296
Bottom Up Linear,14,94,360,96.2566844919786,0.00404815673828125,0.0004916416102014088,3.1297655582427977,0.18540354276070267,3.133813714981079,0.18565118647097512,0.1680270187795131,0.011237888137625957,0.15760959298072738,0.010683593755687643,0.0378065797386169,0.004323481708342189,0.1680270187795131,0.011237888137625957,0.15760959298072738,0.010683593755687643,0.0378065797386169,0.004323481708342189
Bottom Up Clinear,329,94,45,12.032085561497325,0.0038700103759765625,0.0003767334948482227,4.223429346084595,0.4597854751870275,4.227299356460572,0.4598348946728822,0.16625882542219775,0.02036557668668964,0.15571408060143127,0.019327796894315668,0.036145134684121255,0.007203543196131447,0.16625882542219775,0.02036557668668964,0.15571408060143127,0.019327796894315668,0.036145134684121255,0.007203543196131447
Bottom Up Rank,49,94,325,86.89839572192514,0.0057732582092285155,0.00046520036182401035,3.3900742053985597,0.13832696031477984,3.395847463607788,0.1379790405883763,0.12501486059980813,0.00526026856481476,0.11017086984560291,0.005220950860470377,0.018444339918609845,0.0019959971525826754,0.12501486059980813,0.00526026856481476,0.11017086984560291,0.005220950860470377,0.018444339918609845,0.0019959971525826754
Bottom Up Mahalanobis,49,94,325,86.89839572192514,0.003398609161376953,7.706203360871102e-05,3.664527082443237,0.7253227636777503,3.6679256916046143,0.7253686360068852,0.12184788724735329,0.004323430520170518,0.10809782460794314,0.004367386328525991,0.017721472415368613,0.0016950724257475016,0.12184788724735329,0.004323430520170518,0.10809782460794314,0.004367386328525991,0.017721472415368613,0.0016950724257475016
Bottom Up AR,49,94,325,86.89839572192514,0.006795740127563477,0.0011191732988231973,3.6056069850921633,0.6799718507718621,3.6124027252197264,0.6807711059289481,0.12136823697203179,0.0019159734840411735,0.1071163716181342,0.0016444764598335488,0.017326678750552698,0.000749420261786542,0.12136823697203179,0.0019159734840411735,0.1071163716181342,0.0016444764598335488,0.017326678750552698,0.000749420261786542
Bottom Up Mean,70,94,304,81.28342245989305,0.05371694564819336,0.0020970917479145416,3.6365015506744385,0.3286973756812983,3.6902184963226317,0.3300675847209634,0.12448110202031151,0.004047568087640131,0.11052748257978146,0.003847189002613281,0.018394467322527724,0.0016269807633085653,0.12448110202031151,0.004047568087640131,0.11052748257978146,0.003847189002613281,0.018394467322527724,0.0016269807633085653
Bottom Up Median,49,94,325,86.89839572192514,0.05371694564819336,0.0020970917479145416,3.495716428756714,0.3526846055286722,3.549433374404907,0.3516618522210069,0.12551508817500548,0.006920878417474607,0.11082597773712691,0.005642115889330975,0.018660084656728446,0.0021125944547288928,0.12551508817500548,0.006920878417474607,0.11082597773712691,0.005642115889330975,0.018660084656728446,0.0021125944547288928
