Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Population_MAPE,Std Population_MAPE,Avg Population_MAE,Std Population_MAE,Avg Population_MSE,Std Population_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation Mahalanobis,312,164,340,52.14723926380368,0.047628164291381836,0.007444005027187329,5.9308027744293215,2.6306478576244556,5.978430938720703,2.6321476444819836,0.014227749555153388,0.016958496123246982,0.01519969997519038,0.01810889771478505,0.0005409942089677761,0.0007434170892874819,0.014227749555153388,0.016958496123246982,0.01519969997519038,0.01810889771478505,0.0005409942089677761,0.0007434170892874819
Binary Segmentation AR,637,164,15,2.3006134969325154,0.026912164688110352,0.0028573219401796285,5.588625574111939,0.5351367108704416,5.6155377388000485,0.5372445670805119,0.0016195354301645427,0.0018184441033003988,0.001726056951984823,0.0019408037376757745,6.481632869843459e-06,1.1045193198353105e-05,0.0016195354301645427,0.0018184441033003988,0.001726056951984823,0.0019408037376757745,6.481632869843459e-06,1.1045193198353105e-05
Binary Segmentation Mean,291,164,361,55.3680981595092,0.2823646068572998,0.011106834039311871,5.491865921020508,2.2939202533615886,5.774230527877807,2.297588789735083,0.02263819153823944,0.027650608188952812,0.024134970678804393,0.029424337547859128,0.001339156453712833,0.00212932143675852,0.02263819153823944,0.027650608188952812,0.024134970678804393,0.029424337547859128,0.001339156453712833,0.00212932143675852
Binary Segmentation Median,312,164,340,52.14723926380368,0.2823646068572998,0.011106834039311871,4.217073106765747,1.9220068068940508,4.499437713623047,1.9150982852161536,0.03374815784756068,0.02886878373338504,0.03592890210756452,0.03072101473297073,0.0021282082405542574,0.0024165895455039725,0.03374815784756068,0.02886878373338504,0.03592890210756452,0.03072101473297073,0.0021282082405542574,0.0024165895455039725
Bottom Up L1,247,164,405,62.11656441717791,0.017897844314575195,0.0025795765788801787,2.932826805114746,0.38230749835593586,2.950724649429321,0.38209627041532945,0.03039373380158051,0.019094094315299053,0.03239880219556593,0.020308484308538752,0.0014606946588726663,0.0012267687935280517,0.03039373380158051,0.019094094315299053,0.03239880219556593,0.020308484308538752,0.0014606946588726663,0.0012267687935280517
Bottom Up L2,297,164,355,54.44785276073619,0.01095738410949707,0.0017101270467625757,5.59921817779541,3.006043861596866,5.610175561904907,3.0058506564362504,0.008281631769575344,0.013034680288253607,0.008832784910778624,0.013911896100903796,0.00025685274518288546,0.0005087369400644872,0.008281631769575344,0.013034680288253607,0.008832784910778624,0.013911896100903796,0.00025685274518288546,0.0005087369400644872
Bottom Up Normal,237,164,415,63.65030674846626,0.016919565200805665,0.004558837269632451,3.7211569786071776,1.785202955890905,3.7380765438079835,1.785028979303619,0.03137726970427389,0.01644745827786243,0.033421814765812956,0.017514298704566847,0.0014222259726376421,0.000926873872004489,0.03137726970427389,0.01644745827786243,0.033421814765812956,0.017514298704566847,0.0014222259726376421,0.000926873872004489
Bottom Up RBF,177,164,475,72.85276073619632,0.018450593948364256,0.003139977713105126,3.0567213535308837,1.0433836585739384,3.075171947479248,1.0457103150341212,0.03286364216467099,0.010251432348893974,0.03506419277615308,0.010851599831067416,0.001416100290729834,0.0006595182651105689,0.03286364216467099,0.010251432348893974,0.03506419277615308,0.010851599831067416,0.001416100290729834,0.0006595182651105689
Bottom Up Cosine,12,164,640,98.15950920245399,0.01410832405090332,0.0015227471806299434,2.7789743900299073,0.26377361660554277,2.7930827140808105,0.2644580837167257,0.015065226982382383,0.0035764010185624986,0.0162050068402777,0.003801451858924109,0.0003639708153513636,0.00013618139967943555,0.015065226982382383,0.0035764010185624986,0.0162050068402777,0.003801451858924109,0.0003639708153513636,0.00013618139967943555
Bottom Up Linear,207,164,445,68.25153374233128,0.011163616180419922,0.0014293125671816043,2.764405393600464,0.5913566724177263,2.7755690097808836,0.5919826568846142,0.046767660017440434,0.014543846949195468,0.049838529595057385,0.015478495776775396,0.0028113117694337168,0.0015345368090795167,0.046767660017440434,0.014543846949195468,0.049838529595057385,0.015478495776775396,0.0028113117694337168,0.0015345368090795167
Bottom Up Clinear,207,164,445,68.25153374233128,0.008587837219238281,0.001035709969828329,2.830218267440796,0.5058616516809616,2.8388061046600344,0.5068845957470408,0.03942881060501852,0.02028874301879674,0.042046320343231566,0.021534384226650848,0.0022562568983650897,0.001775873847035197,0.03942881060501852,0.02028874301879674,0.042046320343231566,0.021534384226650848,0.0022562568983650897,0.001775873847035197
Bottom Up Rank,287,164,365,55.98159509202454,0.011779880523681641,0.0015453933911315546,6.292902851104737,2.7809230294502396,6.304682731628418,2.7822540482577804,0.004473805927766832,0.0052213930310729155,0.0047536890510462065,0.005545818363906531,5.530888286186899e-05,7.452492468780702e-05,0.004473805927766832,0.0052213930310729155,0.0047536890510462065,0.005545818363906531,5.530888286186899e-05,7.452492468780702e-05
Bottom Up Mahalanobis,297,164,355,54.44785276073619,0.009833574295043945,0.002356524158222991,6.077424240112305,2.182245157744544,6.087257814407349,2.1843714470793922,0.011111468820451883,0.012290769368720353,0.01183082011994493,0.013080350762786094,0.0002867701561438455,0.0004068740035340342,0.011111468820451883,0.012290769368720353,0.01183082011994493,0.013080350762786094,0.0002867701561438455,0.0004068740035340342
Bottom Up AR,197,164,455,69.78527607361963,0.013743162155151367,0.0010409674752056709,2.942522144317627,0.28050068454861465,2.9562653064727784,0.28094849471294464,0.04601024779567322,0.012860759106903935,0.04902011871860712,0.013706092799066153,0.002677473565859137,0.0014372537230741228,0.04601024779567322,0.012860759106903935,0.04902011871860712,0.013706092799066153,0.002677473565859137,0.0014372537230741228
Bottom Up Mean,217,164,435,66.71779141104295,0.13344178199768067,0.014817704906598495,3.0804731369018556,0.6289867331185253,3.213914918899536,0.6317172178341802,0.03779230593418766,0.01736883949359234,0.04025782633990795,0.01849057244334764,0.0019826910814730358,0.0011745357579613193,0.03779230593418766,0.01736883949359234,0.04025782633990795,0.01849057244334764,0.0019826910814730358,0.0011745357579613193
Bottom Up Median,222,164,430,65.95092024539878,0.13344178199768067,0.014817704906598495,2.735065460205078,0.2906465489064483,2.868507242202759,0.29498684155546984,0.03220594292810569,0.021282467580502035,0.03434489773749543,0.02265024335865268,0.0016925262397147333,0.0015910966333153637,0.03220594292810569,0.021282467580502035,0.03434489773749543,0.02265024335865268,0.0016925262397147333,0.0015910966333153637
