Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Median,6268,3947,9520,60.29896123638206,21.479527235031128,24.95317506790161,46.43270230293274,0.33535610440011104,0.23289708851815896,0.08148744601143022,0.005680963337096659,0.005603033160289683,5.1856830144628575e-05,0.22602876499603752,0.12410007296951056,0.022341023550621078,255031320131.92917,0.08900372021319575,0.011265428278253884,0.21930383440943946,0.08112596906176232,0.012204385626291133,1791980450456.072,0.31734214566460767,0.1376848301457243,341168628431.4467,0.14167867159792083,0.04417249507374419
Binary Segmentation L1,5023,3947,10765,68.18469723840892,4.298889875411987,18.914276838302612,23.2131667137146,0.31838350039683033,0.21233247221315976,0.07073196535389714,0.0070665200600921775,0.006956770628229836,7.976833765223413e-05,0.21788975531817537,0.12174591285914997,0.021080008087418473,286578580827.2861,0.09957535150089167,0.013951716696543113,0.2154299830786044,0.08432693917920106,0.012342139998801386,1819796853271.2273,0.2933612088928526,0.11849770705065521,351062572349.84735,0.13638310921224756,0.03944721758749456
Binary Segmentation L2,7613,3947,8175,51.77983278439321,1.0267839431762695,21.999347925186157,23.026131868362427,0.3822124641526946,0.27802372014331866,0.10950198743401879,0.015271289316416182,0.014952657849722781,0.00028475895116181676,0.24943306710126614,0.13217759570569582,0.02729341465805028,247368601236.9458,0.08819926303527524,0.011250820822165077,0.2111826080934422,0.08373134039819081,0.01230692044040849,1167402134694.621,0.3697558572532471,0.1919891126059824,235795122655.41727,0.16114007239757527,0.05877116915196434
Binary Segmentation Normal,7333,3947,8455,53.55333164428679,2.0418503284454346,43.584264039993286,45.62611436843872,0.40195840593221427,0.29184556729588096,0.11801682685128546,0.007259013977489352,0.007109745464728598,7.858176978461578e-05,0.24089715465033515,0.1281956891212773,0.025158862267873183,235080886522.97964,0.08228955634760654,0.010033490059511561,0.21410836425326793,0.07637458970283505,0.012175257488038145,1191200977352.0164,0.3622862965331241,0.18507852467999597,237713643979.31674,0.15801690741090887,0.05842359051941488
Binary Segmentation RBF,5158,3947,10630,67.32961743096023,616.3655791282654,20.505865812301636,636.871444940567,0.34225070350804226,0.23570093329961173,0.08348705030595904,0.018149743404656023,0.01789619731881437,0.0003583914565945629,0.22282347954404258,0.1240477141423092,0.021958725310228192,265718057730.60254,0.08931925286380882,0.01151278598003699,0.21744898487416348,0.08447557436405591,0.012321042954031875,1690596083161.3557,0.3182523687969505,0.13928452196033628,326052356815.44434,0.1449486734642585,0.044820419661197854
Binary Segmentation Cosine,7613,3947,8175,51.77983278439321,616.1744740009308,29.189542055130005,645.3640160560608,0.3405335666665072,0.2408262882002526,0.0853814894820479,0.0072056333419936,0.007052065406782907,8.874723953328653e-05,0.22296299275815332,0.12471333519090552,0.0220908355878489,251404990010.53696,0.08658716756587785,0.010942705292684948,0.21603525000156049,0.0789373450310553,0.011995334691242386,1525757884561.455,0.32922639036635065,0.15179418030131647,296193812428.7868,0.14455709862687077,0.04704888209911239
Binary Segmentation Linear,3868,3947,11920,75.50038003546997,2.8346786499023438,21.282153844833374,24.116832494735718,0.32963235008707586,0.22849568456623434,0.07918460636094715,0.01022459926538982,0.01008848281241098,0.00013254842877135733,0.21999425682291399,0.12261448115474945,0.021378881877828732,375598812380.3955,0.12739254559501031,0.023348693673025035,0.21562182666256965,0.0860848715304358,0.012626587502176129,1591082728699.9795,0.3200646898913451,0.1413286804252236,327780256846.8426,0.14912345925836457,0.046333333044661994
Binary Segmentation Clinear,15528,3947,260,1.6468203699011907,2.145953893661499,83.16422772407532,85.31018161773682,0.4139160061390393,0.30447347409725206,0.1256913460677927,0.007418587230695074,0.007283171857841431,7.266061486351038e-05,0.24370930125128315,0.12893121527831813,0.025812942347857352,275856126740.4083,0.09588403544241496,0.012652955800337469,0.22997456450652137,0.0790155074593893,0.013373492453132121,1113490802511.179,0.3576078293281339,0.18014208223613765,231557821542.0787,0.16219920557722514,0.05962424658668683
Binary Segmentation Rank,5893,3947,9895,62.67418292373955,2.009194850921631,20.426060914993286,22.435255765914917,0.34082695972166777,0.23677312694735472,0.0845598770512227,0.009877776881703928,0.009714793926032144,0.00014064811581645308,0.23400569312314334,0.12510171783690158,0.023947260829044314,233868398569.7456,0.086290551498431,0.010737585425893178,0.22616853087729907,0.08738366374481461,0.013057378115086601,1958876790411.1716,0.3315001867813405,0.15115569402454718,365457531496.94543,0.14612734012247927,0.047266407260268394
Binary Segmentation Mahalanobis,6023,3947,9765,61.85077273878895,643.133630990982,47.381590843200684,690.5152218341827,0.33005085846041105,0.2287745419367622,0.07871568006207598,0.006587611794264704,0.006477565941466188,7.564987431297736e-05,0.22529170016180727,0.12740961635994427,0.022650276825734957,283197533433.5733,0.09553260659227152,0.012978864345211859,0.21061491452669312,0.07983447653802972,0.011345421831566971,1616106299613.3523,0.33050884406772596,0.15140497224708338,316550638841.27344,0.1447562752393666,0.0461951441976643
Binary Segmentation AR,9633,3947,6155,38.985305295160884,6.039999008178711,51.577062129974365,57.617061138153076,0.3693212452565744,0.2688776928352035,0.09929346849292581,0.007101297217440723,0.006980763971522755,6.755692585716227e-05,0.2227415985963095,0.12315799872838264,0.02173980996028024,279609456386.2162,0.10437618389361247,0.014746749012409202,0.21422832870143071,0.07918271991273321,0.012001777759934561,1112310745401.6138,0.35887671783157926,0.1818706256783869,231986700298.10513,0.1569086795288389,0.05495333130496564
Binary Segmentation Mean,7369,3947,8419,53.325310362300485,1896.071034669876,47.77820086479187,1943.849235534668,0.3618500045484004,0.25861246652812464,0.09566820196695877,0.008235974072158815,0.008063446485140966,0.00010134772770775696,0.22958844399825631,0.12342358918274757,0.022844753854038714,281864634268.966,0.09554471947246371,0.013043185251273149,0.21511442911424622,0.08168391158901182,0.012119491228791602,1399649603944.4822,0.32558194257154677,0.1479113895838533,280252373035.6982,0.14881834597150592,0.04861472826877058
Binary Segmentation Median,6678,3947,9110,57.70205219153788,1896.071034669876,31.724392890930176,1927.7954275608063,0.3543972741729056,0.2543199233917904,0.09413499315258016,0.009183341361518287,0.009008069646263968,0.00014884996288194198,0.2325456467568279,0.12710055601859638,0.02377601617100613,233723302464.1955,0.07958946498550785,0.009308613604215622,0.21979943797720555,0.08374620211207684,0.012366775956884814,1613086230492.707,0.3377173802972904,0.15825402080372106,307801588826.27985,0.14858026607525443,0.04966487827521493
Bottom Up L1,5543,3947,10245,64.89105649860653,0.4825270175933838,25.178237915039062,25.660764932632446,0.32753221615991807,0.22759022967546247,0.07764372917338767,0.007637839908095598,0.007538038940158632,8.224527568452914e-05,0.22344013791939393,0.12389700321081946,0.021922463328747126,269666534232.8711,0.0914588789089881,0.011917347396080876,0.21217868353618238,0.07799072244275798,0.01169550407177388,1911110090179.6228,0.3064031563257567,0.1277094162700481,363462770735.52045,0.13914633825065728,0.04182845091928702
Bottom Up L2,7618,3947,8170,51.748163161895114,0.337385892868042,36.288285970687866,36.62567186355591,0.3716483148634088,0.27182256429396995,0.10406149282576348,0.009183367851623188,0.009045152395665498,0.00011575933731484905,0.2309329148162542,0.12489758961937146,0.023129945909712853,231965414542.42,0.08501734363333277,0.010471611830740277,0.20701921342748456,0.07445920513437042,0.011420818084069107,1325242659496.4858,0.33886511307217493,0.16130263308388593,259534679006.61514,0.150684494691481,0.05175037684524784
Bottom Up Normal,5743,3947,10045,63.62427159868255,0.5573098659515381,27.921311140060425,28.478621006011963,0.32213506448269963,0.22275022679756873,0.07519618047706214,0.008196151131428804,0.008085841956156225,9.184272922130699e-05,0.2241089443067429,0.12568949035605836,0.022249994109546468,279298052190.2502,0.09705781439444622,0.013357096325850401,0.22689066341459757,0.07661026868982673,0.013092678932713297,1698229741977.4363,0.30380466152749314,0.12690207802224662,329587965694.71906,0.1389997172869252,0.04181497843277338
Bottom Up RBF,6033,3947,9755,61.787433493792754,13.252426862716675,23.395538806915283,36.64796566963196,0.3234372020118353,0.22710173505188053,0.07945033336913378,0.009866828685693553,0.009737953965697627,0.00013378709517031562,0.23340849497221128,0.1285358487783373,0.023941741300060174,265286889237.82285,0.09022424271795669,0.011640743303060624,0.22000035226260428,0.08296399532423758,0.012317636569199633,1674361526255.4219,0.31340114933087493,0.13579594240494866,323274735915.6547,0.14199415419483075,0.04388003067359547
Bottom Up Cosine,9198,3947,6590,41.74056245249557,5.844624757766724,27.83474612236023,33.67937088012695,0.36500328855408676,0.2634328655465817,0.09880162666160591,0.006836517814261898,0.006717815721658518,6.836985900201001e-05,0.21200838113456505,0.12183770667467313,0.020305307115176797,288829094116.34644,0.10401153343454039,0.014832422229443887,0.2176596033370912,0.07270390421951221,0.012638098464409627,1106925267577.66,0.37281828880333506,0.19641171010332367,232625726949.129,0.1569203524000505,0.057176255738826925
Bottom Up Linear,1408,3947,14380,91.08183430453509,0.3262619972229004,8.37516474723816,8.70142674446106,0.3437304311131092,0.25780645212136055,0.09905506436764111,0.02384900511998859,0.023513305232290324,0.0006766324859955972,0.22744551544810748,0.13257558171968525,0.024943835956030704,436587490985.8667,0.14533029609424172,0.03027143974391122,0.2259155750554543,0.0846090290956131,0.01469201226165241,1441443989809.231,0.6117092478852192,0.5324153010103411,313005246799.3398,0.20925731869140254,0.11700904763759552
